2025-11-18 21:00:51;SYSTEM;GAME_START;CLASSIC;Players: 4
2025-11-18 21:00:51;Giocatore 1;DRAW;NumberedCard;FIVE
2025-11-18 21:00:51;IA-1;DRAW;ReverseCard;REVERSE
2025-11-18 21:00:51;IA-2;DRAW;NumberedCard;SEVEN
2025-11-18 21:00:51;IA-3;DRAW;NumberedCard;ONE
2025-11-18 21:00:51;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:00:51;IA-1;DRAW;NumberedCard;ONE
2025-11-18 21:00:51;IA-2;DRAW;NumberedCard;TWO
2025-11-18 21:00:51;IA-3;DRAW;NumberedCard;FIVE
2025-11-18 21:00:51;Giocatore 1;DRAW;ReverseCard;REVERSE
2025-11-18 21:00:51;IA-1;DRAW;NumberedCard;SEVEN
2025-11-18 21:00:51;IA-2;DRAW;WildDrawFourCard;WILD_DRAW_FOUR
2025-11-18 21:00:51;IA-3;DRAW;NumberedCard;FIVE
2025-11-18 21:00:51;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:00:51;IA-1;DRAW;NumberedCard;FIVE
2025-11-18 21:00:51;IA-2;DRAW;NumberedCard;TWO
2025-11-18 21:00:51;IA-3;DRAW;DrawTwoCard;DRAW_TWO
2025-11-18 21:00:51;Giocatore 1;DRAW;DrawTwoCard;DRAW_TWO
2025-11-18 21:00:51;IA-1;DRAW;NumberedCard;EIGHT
2025-11-18 21:00:51;IA-2;DRAW;NumberedCard;SIX
2025-11-18 21:00:51;IA-3;DRAW;NumberedCard;SIX
2025-11-18 21:00:51;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:00:51;IA-1;DRAW;SkipCard;SKIP
2025-11-18 21:00:51;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:00:51;IA-3;DRAW;DrawTwoCard;DRAW_TWO
2025-11-18 21:00:51;Giocatore 1;DRAW;NumberedCard;ONE
2025-11-18 21:00:51;IA-1;DRAW;NumberedCard;FOUR
2025-11-18 21:00:51;IA-2;DRAW;NumberedCard;THREE
2025-11-18 21:00:51;IA-3;DRAW;DrawTwoCard;DRAW_TWO
2025-11-18 21:00:51;SYSTEM;SETUP_CARD_FLIPPED;NumberedCard;Starting Color: RED
2025-11-18 21:00:56;IA-3;PLAY;NumberedCard;FIVE
