2025-11-18 21:02:31;SYSTEM;GAME_START;FLIP;Players: 4
2025-11-18 21:02:31;Giocatore 1;DRAW;ReverseCard;SIX
2025-11-18 21:02:31;IA-1;DRAW;SkipCard;SKIP
2025-11-18 21:02:31;IA-2;DRAW;NumberedCard;EIGHT
2025-11-18 21:02:31;IA-3;DRAW;SkipCard;SKIP
2025-11-18 21:02:31;Giocatore 1;DRAW;NumberedCard;FOUR
2025-11-18 21:02:31;IA-1;DRAW;NumberedCard;FOUR
2025-11-18 21:02:31;IA-2;DRAW;WildCard;WILD
2025-11-18 21:02:31;IA-3;DRAW;NumberedCard;NINE
2025-11-18 21:02:31;Giocatore 1;DRAW;ReverseCard;REVERSE
2025-11-18 21:02:31;IA-1;DRAW;NumberedCard;NINE
2025-11-18 21:02:31;IA-2;DRAW;ReverseCard;NINE
2025-11-18 21:02:31;IA-3;DRAW;ReverseCard;REVERSE
2025-11-18 21:02:31;Giocatore 1;DRAW;SkipCard;SKIP
2025-11-18 21:02:31;IA-1;DRAW;NumberedCard;SEVEN
2025-11-18 21:02:31;IA-2;DRAW;FlipCard;FLIP
2025-11-18 21:02:31;IA-3;DRAW;WildDrawTwoCard;WILD_DRAW_TWO
2025-11-18 21:02:31;Giocatore 1;DRAW;NumberedCard;ONE
2025-11-18 21:02:31;IA-1;DRAW;ReverseCard;EIGHT
2025-11-18 21:02:31;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:02:31;IA-3;DRAW;FlipCard;FLIP
2025-11-18 21:02:31;Giocatore 1;DRAW;NumberedCard;FIVE
2025-11-18 21:02:31;IA-1;DRAW;NumberedCard;THREE
2025-11-18 21:02:31;IA-2;DRAW;NumberedCard;FIVE
2025-11-18 21:02:31;IA-3;DRAW;FlipCard;FLIP
2025-11-18 21:02:31;Giocatore 1;DRAW;NumberedCard;THREE
2025-11-18 21:02:31;IA-1;DRAW;NumberedCard;SEVEN
2025-11-18 21:02:31;IA-2;DRAW;WildCard;WILD
2025-11-18 21:02:31;IA-3;DRAW;SkipCard;SKIP
2025-11-18 21:02:31;SYSTEM;SETUP_CARD_FLIPPED;ReverseCard;Starting Color: RED
